date,BANK,IT,FMCG,AUTO,PHARMA,FIN_SVC,METAL,ENERGY,REALTY,INFRA,MEDIA,PSU_BANK,PVT_BANK
2015-03-13,18779.58203125,12312.150390625,20676.69921875,8721.75,12487.0498046875,7755.7001953125,2391.14990234375,8430.599609375,225.9499969482422,3297.800048828125,2207.800048828125,3648.25,
2015-03-16,18837.130859375,12419.0498046875,20436.80078125,8697.849609375,12480.7001953125,7733.2001953125,2353.14990234375,8364.0498046875,228.85000610351562,3260.800048828125,2232.14990234375,3667.0,
2015-03-17,19058.029296875,12383.150390625,20718.599609375,8807.400390625,12716.7998046875,7845.39990234375,2380.699951171875,8468.9501953125,230.25,3301.25,2258.75,3681.39990234375,
2015-03-18,19147.02734375,12276.099609375,20572.05078125,8748.75,12732.400390625,7848.2001953125,2387.75,8476.75,230.5,3264.449951171875,2292.0,3722.300048828125,
2015-03-19,18810.931640625,12275.2001953125,20430.650390625,8719.5498046875,12799.7998046875,7760.7998046875,2388.35009765625,8436.7998046875,226.85000610351562,3241.85009765625,2261.699951171875,3632.699951171875,
2015-03-20,18606.1328125,12363.5,19999.80078125,8585.9501953125,12622.25,7707.10009765625,2366.0,8355.25,218.0500030517578,3203.699951171875,2215.300048828125,3589.60009765625,
2015-03-23,18448.78515625,12244.4501953125,19999.19921875,8597.7998046875,12622.9501953125,7664.39990234375,2373.5,8335.2001953125,217.5500030517578,3203.449951171875,2197.449951171875,3547.300048828125,
2015-03-24,18331.236328125,12180.0,19945.0,8480.7998046875,12853.4501953125,7647.85009765625,2366.25,8387.0498046875,216.89999389648438,3218.949951171875,2205.39990234375,3499.35009765625,
2015-03-25,18309.88671875,12225.599609375,19957.5,8515.650390625,12919.4501953125,7633.14990234375,2343.35009765625,8319.099609375,217.0,3184.449951171875,2181.699951171875,3438.64990234375,
2015-03-26,17831.443359375,11902.099609375,19691.150390625,8385.349609375,12676.849609375,7385.39990234375,2288.0,8196.099609375,213.1999969482422,3176.64990234375,2154.10009765625,3331.35009765625,
2015-03-27,18044.591796875,11968.5,19511.0,8435.0,12588.5498046875,7418.7998046875,2292.85009765625,8116.5,211.64999389648438,3171.14990234375,2138.25,3381.75,
2015-03-30,18361.587890625,12100.849609375,19880.94921875,8574.4501953125,12703.7998046875,7584.5498046875,2328.300048828125,8183.7001953125,216.0500030517578,3250.89990234375,2178.60009765625,3436.300048828125,
2015-03-31,18206.439453125,12083.0,19879.599609375,8621.75,12844.7998046875,7548.64990234375,2324.449951171875,8264.25,216.14999389648438,3249.64990234375,2188.89990234375,3410.39990234375,
2015-04-01,18617.6328125,11952.2001953125,20145.099609375,8710.75,13136.2001953125,7699.5,2347.64990234375,8313.150390625,219.39999389648438,3283.39990234375,2204.0,3507.800048828125,
2015-04-06,18605.232421875,11969.25,20607.900390625,8792.0,13807.099609375,7698.14990234375,2339.949951171875,8372.349609375,234.14999389648438,3319.60009765625,2174.949951171875,3506.35009765625,
2015-04-07,18469.0859375,11989.349609375,20747.94921875,8794.5,13778.25,7646.60009765625,2392.0,8436.599609375,230.25,3350.300048828125,2168.75,3493.699951171875,
2015-04-08,18416.384765625,12214.2998046875,21074.099609375,8838.75,13831.150390625,7603.4501953125,2431.25,8568.9501953125,232.85000610351562,3373.199951171875,2176.35009765625,3506.5,
2015-04-09,18875.630859375,12279.400390625,21118.94921875,8848.150390625,13545.900390625,7741.64990234375,2468.14990234375,8688.25,230.9499969482422,3358.449951171875,2251.699951171875,3604.699951171875,
2015-04-10,18800.630859375,12294.75,21214.75,8879.0,13505.900390625,7702.39990234375,2483.0,8740.099609375,232.39999389648438,3386.699951171875,2242.39990234375,3662.300048828125,
2015-04-13,18798.03125,12333.7998046875,21456.400390625,8817.849609375,13722.849609375,7715.14990234375,2485.0,8849.900390625,232.6999969482422,3452.89990234375,2244.199951171875,3681.85009765625,
2015-04-15,18716.083984375,12154.5498046875,21463.05078125,8682.0,13480.9501953125,7647.60009765625,2467.0,8838.0498046875,229.9499969482422,3404.0,2238.35009765625,3733.949951171875,
2015-04-16,18636.833984375,12059.0,21287.80078125,8666.400390625,13248.650390625,7634.7998046875,2464.39990234375,8910.650390625,224.3000030517578,3377.5,2212.300048828125,3731.699951171875,
2015-04-17,18345.337890625,11803.0498046875,21277.849609375,8558.2001953125,12809.150390625,7561.85009765625,2488.550048828125,8900.2998046875,222.14999389648438,3342.199951171875,2192.0,3737.199951171875,
2015-04-20,18112.5390625,11562.2001953125,20666.349609375,8398.599609375,12753.849609375,7448.14990234375,2442.199951171875,8657.099609375,216.0500030517578,3271.800048828125,2138.050048828125,3681.199951171875,
2015-04-21,18105.5390625,11558.400390625,20429.30078125,8284.900390625,12284.0,7437.14990234375,2446.25,8563.650390625,215.3000030517578,3240.800048828125,2123.800048828125,3699.300048828125,
2015-04-22,18243.486328125,11492.0,20538.599609375,8280.2998046875,12431.349609375,7504.89990234375,2459.199951171875,8548.2001953125,215.35000610351562,3285.449951171875,2128.14990234375,3653.25,
2015-04-23,18245.38671875,11451.5498046875,20525.69921875,8228.7998046875,12293.0498046875,7488.2998046875,2495.14990234375,8495.849609375,213.5500030517578,3266.25,2138.449951171875,3591.35009765625,
2015-04-24,18001.69140625,11132.25,20606.05078125,8164.4501953125,12210.0,7391.2001953125,2454.89990234375,8509.7998046875,205.0,3216.89990234375,2094.10009765625,3536.300048828125,
2015-04-27,17767.392578125,11097.900390625,20242.55078125,8118.64990234375,11908.2001953125,7260.0,2454.050048828125,8386.150390625,196.5500030517578,3176.550048828125,2090.800048828125,3457.75,
2015-04-28,18246.037109375,11052.9501953125,20053.30078125,8315.400390625,11984.599609375,7435.64990234375,2453.199951171875,8380.849609375,200.0,3211.199951171875,2087.550048828125,3517.35009765625,
2015-04-29,18302.4375,11094.400390625,19729.94921875,8278.5,12042.900390625,7412.5498046875,2443.25,8302.2998046875,201.60000610351562,3177.800048828125,2086.35009765625,3505.64990234375,
2015-04-30,18337.88671875,11001.0498046875,19510.69921875,8188.2001953125,12057.7998046875,7386.7001953125,2402.39990234375,8331.75,204.8000030517578,3154.64990234375,2053.10009765625,3484.60009765625,
2015-05-04,18501.0859375,11191.4501953125,19911.30078125,8330.2001953125,12333.599609375,7452.4501953125,2441.75,8620.650390625,210.1999969482422,3211.199951171875,2109.10009765625,3579.0,
2015-05-05,18471.234375,11170.25,19963.80078125,8327.2001953125,12391.7001953125,7422.25,2508.14990234375,8663.2998046875,212.85000610351562,3205.14990234375,2078.0,3530.39990234375,
2015-05-06,17799.34375,10938.849609375,19490.849609375,8089.85009765625,12037.650390625,7194.35009765625,2430.35009765625,8437.150390625,203.9499969482422,3089.550048828125,2034.0,3413.550048828125,
2015-05-07,17376.69921875,11127.75,19541.94921875,7986.25,11873.5498046875,7033.0,2417.800048828125,8318.4501953125,199.10000610351562,3070.85009765625,2029.0999755859375,3328.85009765625,
2015-05-08,17796.392578125,11172.0498046875,19857.19921875,8199.25,12104.7001953125,7219.2001953125,2435.60009765625,8397.099609375,207.35000610351562,3117.800048828125,2054.14990234375,3295.14990234375,
2015-05-11,18199.5390625,11324.5498046875,19795.94921875,8427.5498046875,12317.5,7381.9501953125,2502.300048828125,8489.849609375,209.25,3153.89990234375,2088.199951171875,3498.10009765625,
2015-05-12,17628.4453125,11118.4501953125,19598.75,8277.5,12250.7001953125,7159.2001953125,2426.0,8239.2001953125,201.89999389648438,3059.89990234375,2029.0999755859375,3369.14990234375,
2015-05-13,18097.23828125,11170.5,19818.900390625,8413.400390625,12261.400390625,7341.89990234375,2428.85009765625,8342.25,200.35000610351562,3090.550048828125,2010.300048828125,3459.199951171875,
2015-05-14,18115.98828125,11093.599609375,19846.05078125,8485.5,12238.7998046875,7332.5498046875,2448.699951171875,8352.0498046875,202.5500030517578,3097.300048828125,2012.8499755859375,3557.64990234375,
2015-05-15,18182.939453125,11171.900390625,19997.599609375,8539.5498046875,12294.650390625,7381.75,2422.85009765625,8333.25,200.14999389648438,3110.449951171875,2008.6500244140625,3586.5,
2015-05-18,18422.734375,11279.4501953125,20292.099609375,8600.0498046875,12486.0,7494.60009765625,2436.5,8472.099609375,200.25,3153.25,2068.85009765625,3600.10009765625,
2015-05-19,18380.1875,11372.2001953125,20231.099609375,8531.2998046875,12502.349609375,7450.7001953125,2445.550048828125,8454.849609375,200.9499969482422,3160.050048828125,2081.5,3588.89990234375,
2015-05-20,18554.935546875,11571.7001953125,20232.5,8484.7998046875,12537.0498046875,7536.2001953125,2431.39990234375,8510.150390625,200.5500030517578,3158.64990234375,2098.25,3621.75,
2015-05-21,18512.935546875,11618.599609375,20070.94921875,8549.599609375,12554.75,7508.0,2419.60009765625,8454.400390625,202.6999969482422,3161.10009765625,2092.199951171875,3591.300048828125,
2015-05-22,18433.0859375,11728.400390625,20167.75,8581.650390625,12690.099609375,7526.5498046875,2409.85009765625,8520.650390625,202.25,3169.89990234375,2089.10009765625,3524.14990234375,
2015-05-25,18324.63671875,11623.349609375,19766.94921875,8565.099609375,12617.5498046875,7446.0,2368.699951171875,8504.650390625,201.0500030517578,3157.199951171875,2090.60009765625,3489.75,
2015-05-26,18329.087890625,11581.900390625,19682.19921875,8548.150390625,12559.0498046875,7425.89990234375,2372.25,8415.349609375,199.75,3155.39990234375,2096.800048828125,3482.949951171875,
2015-05-27,18538.634765625,11367.5,19794.75,8369.900390625,12506.0498046875,7488.4501953125,2377.800048828125,8481.099609375,200.8000030517578,3182.800048828125,2103.449951171875,3538.5,
2015-05-28,18448.984375,11450.849609375,19856.5,8379.2998046875,12311.900390625,7454.25,2370.14990234375,8429.400390625,200.5500030517578,3169.75,2098.39990234375,3516.949951171875,
2015-05-29,18721.1328125,11575.0498046875,20107.30078125,8536.75,12511.75,7535.75,2382.60009765625,8488.099609375,199.5,3220.85009765625,2108.199951171875,3531.10009765625,
2015-06-01,18616.783203125,11525.650390625,20387.400390625,8509.349609375,12079.7998046875,7509.5498046875,2382.800048828125,8591.9501953125,203.5500030517578,3244.949951171875,2092.949951171875,3537.64990234375,
2015-06-02,17977.091796875,11347.900390625,19709.150390625,8325.0498046875,11902.849609375,7256.85009765625,2330.14990234375,8530.599609375,195.4499969482422,3203.39990234375,2100.10009765625,3391.39990234375,
2015-06-03,17721.1953125,11361.099609375,19132.0,8191.60009765625,11746.599609375,7175.14990234375,2303.64990234375,8404.0498046875,183.75,3158.949951171875,2071.60009765625,3311.25,
2015-06-04,17718.994140625,11379.2001953125,19069.150390625,8130.4501953125,11633.150390625,7191.2998046875,2274.199951171875,8460.0,185.39999389648438,3166.300048828125,2095.050048828125,3290.10009765625,
2015-06-05,17549.046875,11291.5498046875,19259.599609375,8092.2998046875,11715.849609375,7129.7998046875,2315.5,8502.349609375,182.25,3189.949951171875,2137.14990234375,3280.14990234375,
2015-06-08,17432.396484375,11238.599609375,19084.0,8006.14990234375,11585.099609375,7067.4501953125,2279.699951171875,8386.75,180.8000030517578,3166.64990234375,2076.050048828125,3214.5,
2015-06-09,17489.697265625,11142.9501953125,18978.900390625,7953.64990234375,11379.900390625,7103.2001953125,2295.75,8367.9501953125,177.8000030517578,3162.35009765625,2064.699951171875,3226.85009765625,
2015-06-10,17707.044921875,11401.7001953125,19014.099609375,8104.0498046875,11477.400390625,7176.7001953125,2311.5,8503.650390625,179.25,3214.25,2085.550048828125,3255.699951171875,
2015-06-11,17304.19921875,11227.150390625,18828.44921875,7909.0,11308.150390625,7018.35009765625,2281.800048828125,8311.0,174.85000610351562,3142.949951171875,2068.60009765625,3168.199951171875,
2015-06-12,17523.34765625,11049.349609375,18846.44921875,7905.25,11328.4501953125,7121.9501953125,2247.199951171875,8374.099609375,174.5500030517578,3147.85009765625,2072.949951171875,3166.85009765625,
2015-06-15,17458.49609375,11093.849609375,18935.75,7996.2001953125,11451.099609375,7141.0,2233.949951171875,8418.25,174.6999969482422,3153.300048828125,2114.10009765625,3120.550048828125,
2015-06-16,17602.244140625,11119.2001953125,18954.849609375,8090.85009765625,11473.7001953125,7157.89990234375,2238.800048828125,8452.2001953125,174.89999389648438,3165.10009765625,2138.699951171875,3168.10009765625,
2015-06-17,17583.845703125,11143.5,19249.099609375,8160.9501953125,11678.9501953125,7159.7998046875,2256.699951171875,8537.150390625,175.75,3190.10009765625,2178.25,3168.64990234375,
2015-06-18,17733.34375,11215.349609375,19248.05078125,8258.650390625,11836.150390625,7233.85009765625,2252.89990234375,8792.400390625,175.35000610351562,3211.75,2170.75,3181.35009765625,
2015-06-19,17880.642578125,11243.650390625,19345.349609375,8305.349609375,11810.0,7313.39990234375,2261.050048828125,8879.849609375,173.8000030517578,3213.10009765625,2158.25,3214.199951171875,
2015-06-22,18334.287109375,11429.7998046875,19653.650390625,8400.7001953125,11879.349609375,7506.39990234375,2288.800048828125,8896.5498046875,183.25,3238.550048828125,2183.699951171875,3296.449951171875,
2015-06-23,18391.13671875,11341.150390625,19737.099609375,8405.7998046875,11910.25,7542.35009765625,2325.5,8934.9501953125,183.64999389648438,3271.39990234375,2184.050048828125,3338.800048828125,
2015-06-24,18365.337890625,11353.75,19843.05078125,8326.9501953125,11997.5498046875,7534.25,2292.25,8881.75,181.25,3244.550048828125,2192.85009765625,3259.75,
2015-06-25,18492.685546875,11210.400390625,19759.599609375,8395.9501953125,12007.25,7594.5,2299.800048828125,8953.0498046875,182.39999389648438,3295.25,2204.75,3276.699951171875,
2015-06-26,18371.287109375,11362.5498046875,19695.650390625,8447.2001953125,12066.849609375,7527.35009765625,2281.449951171875,8910.900390625,183.85000610351562,3260.25,2217.199951171875,3262.89990234375,
2015-06-29,18241.037109375,11133.650390625,19755.55078125,8325.0498046875,11926.400390625,7480.2001953125,2245.800048828125,8854.849609375,180.14999389648438,3245.64990234375,2180.75,3205.25,
2015-06-30,18295.88671875,11037.400390625,20155.75,8383.25,12202.5498046875,7508.14990234375,2287.300048828125,8892.9501953125,180.9499969482422,3254.39990234375,2237.85009765625,3228.199951171875,
2015-07-01,18581.3828125,11213.599609375,20093.900390625,8482.4501953125,12257.099609375,7590.14990234375,2314.75,8970.650390625,182.60000610351562,3305.39990234375,2229.10009765625,3307.300048828125,
2015-07-02,18585.333984375,11187.25,20143.150390625,8528.599609375,12193.7998046875,7590.25,2299.949951171875,8986.150390625,182.39999389648438,3313.85009765625,2261.89990234375,3303.39990234375,
2015-07-03,18729.43359375,11198.650390625,20245.099609375,8493.5,12264.849609375,7667.64990234375,2268.25,8969.400390625,181.3000030517578,3321.0,2261.60009765625,3328.75,
2015-07-06,18824.931640625,11209.599609375,20376.69921875,8517.9501953125,12463.900390625,7696.35009765625,2254.800048828125,9012.2001953125,182.9499969482422,3329.14990234375,2293.25,3360.449951171875,
2015-07-07,18798.28125,11143.849609375,20384.400390625,8488.900390625,12490.5,7726.7998046875,2257.89990234375,8913.849609375,185.35000610351562,3325.10009765625,2271.14990234375,3380.39990234375,
